p,a_index,total_time,poa
9,24,1583.3970241087457,1.1079050035086209
9,25,1585.750347694285,1.1095516271510781
9,26,1588.1123287168832,1.1112043084137588
9,27,1590.4828036829815,1.1128629329000026
9,28,1592.861611174593,1.1145273876654294
9,29,1595.2485918360176,1.1161975612086437
9,30,1597.6435883605552,1.1178733434619381
9,31,1600.0464454772202,1.1195546257819982
9,32,1602.4570099374548,1.1212413009406035
9,33,1604.8751305018438,1.1229332631153346
9,34,1607.3006579268283,1.1246304078802745
9,35,1607.3006579268283,1.1246304078802745
9,36,1609.7334449514194,1.1263326321967138
9,37,1612.1733462839122,1.128039834403853
9,38,1612.1733462839122,1.128039834403853
9,39,1614.6202185886,1.1297519142095076
9,40,1617.0739204724885,1.1314687726808115
10,0,2004.1394142079998,1.402299013401067
10,1,1429.181219594,1.0
10,2,1451.556444458,1.0156559745938702
10,3,1480.0342413439998,1.0355819269472673
10,4,1503.663915008,1.0521156410347732
10,5,1523.3547473013125,1.0658933425769934
10,6,1539.6608,1.0773027093354788
10,7,1554.240704942,1.087504288213028
10,8,1566.7699579529376,1.0962710232072765
10,9,1577.0182513671875,1.1034417677383033
10,10,1587.4495318814375,1.1107405485865525
10,11,1595.384188094,1.1162924380906816
10,12,1603.4075626953124,1.1219064039694047
10,13,1611.513995456,1.1275784857527005
10,14,1616.96174375,1.131390282478904
10,15,1622.442450944,1.1352251405912692
10,16,1627.954619258,1.139082012091138
10,17,1633.496796992,1.1429598812220902
10,18,1639.067577806,1.146857763966157
10,19,1641.8632671126875,1.1488139114919982
10,20,1647.4744131123125,1.1527400378101282
10,21,1650.289545794,1.1547097898913143
10,22,1655.9381406080001,1.1586621191946653
10,23,1658.7712947265625,1.1606444808991991
10,24,1661.610152342,1.1626308333480817
10,25,1664.4545659611874,1.164621073340177
10,26,1667.3043906560001,1.1666150994690834
10,27,1670.1594840408125,1.1686128121073893
10,28,1673.0197062500001,1.1706141133909314
10,29,1675.8849199154374,1.1726189072030493
10,30,1678.754990144,1.1746270991588448
10,31,1681.6297844950625,1.176638596589436
10,32,1684.509172958,1.1786533085262156
10,33,1687.3930279296874,1.1806711456851078
10,34,1690.281224192,1.1826920204508238
10,35,1690.281224192,1.1826920204508238
10,36,1693.1736388893125,1.184715846861119
10,37,1696.070151506,1.1867425405910508
10,38,1696.070151506,1.1867425405910508
10,39,1698.9706438439375,1.188772018937234
10,40,1701.875,1.1908042008020974
